" ","EN","FR","DE","ES","IT","NL","NO","TR","JP","KR","RU","AR","PT","CN","CNT","FA","ID","MS"
"TID_YOU_PURCHASED_TOO_MUCH","To avoid accidental purchases, you'll be able to buy again in <TIME>","Pour éviter les achats impromptus, le prochain pourra se faire dans <TIME>.","Um unbeabsichtigte Käufe zu vermeiden, sind Käufe erst in <TIME> wieder möglich.","Para evitar compras accidentales, podrás comprar de nuevo en <TIME>.","Per evitare acquisti accidentali, potrai acquistare di nuovo fra: <TIME>","Om ongewenste aankopen te voorkomen, kun je weer aankopen doen over <TIME>","For å unngå utilsiktede kjøp vil du først kunne handle igjen om <TIME>","Yanlışlıkla satın alımı önlemek için beklemen gereken süre: <TIME>","意図しない連続購入を防ぐため、次の購入まで\nあと<TIME>お待ちください","우발적인 구매를 예방하기 위해 <TIME> 동안\n구매할 수 없습니다.","Для избежания случайных покупок, следующая покупкя доступна через <TIME>","لتجنب عمليات الشراء غير المقصودة، سيكون بمقدورك الشراء مرة أخرى خلال <TIME>","Por precaução, será preciso aguardar <TIME> para comprar de novo.","为避免意外购买宝石，再次购买前请您稍等：<TIME>","為避免意外購買寶石，再次購買前請您稍等：<TIME>","برای جلوگیری از خریدهای تصادفی، می‌تونی دوباره پس از <TIME> خرید کنی","Untuk menghindari pembelian yang tidak disengaja, pembelian dapat dilakukan lagi dalam <TIME>","Untuk mengelakkan pembelian secara tidak sengaja, anda boleh membeli sekali lagi dalam <TIME>"
"TID_PLEASE_TYPE_CONFIRM","Please type in \q<CONFIRM>\q and press the Buy button to purchase <ITEM> for <PRICE>.","Tapez \q<CONFIRM>\q et appuyez sur Acheter pour obtenir <ITEM> pour <PRICE>.","\q<CONFIRM>\q eingeben und auf \qKaufen\q drücken, um <ITEM> für <PRICE> zu kaufen.","Introduce <CONFIRM> y pulsa el botón Comprar para conseguir <ITEM> por <PRICE>.","Digita \q<CONFIRM>\q e premi il pulsante Acquista per acquistare: <ITEM> per <PRICE>.","Typ '<CONFIRM>' en tik op de knop Kopen om <ITEM> te kopen voor <PRICE>.","Skriv \q<CONFIRM>\q og trykk på Kjøp-knappen for å kjøpe <ITEM> for <PRICE>.","<PRICE> karşılığında <ITEM> satın almak için lütfen \q<CONFIRM>\q yazıp Satın Al'a bas.","「<CONFIRM>」と入力して購入ボタンを押すと、<ITEM>を<PRICE>で購入します。","<ITEM> 아이템을 <PRICE>에 구매하려면 \q<CONFIRM>\q을 입력하고 구매 버튼을 누르세요.","Введите «<CONFIRM>» и нажмите «Купить», чтобы получить <ITEM> за <PRICE>.","من فضلك اكتب \q<CONFIRM>\q واضغط على زر الشراء لشراء <ITEM> مقابل <PRICE>.","Digite \q<CONFIRM>\q e pressione \qComprar\q para adquirir <ITEM> por <PRICE>.","如果您愿意用<PRICE>购买<ITEM>，请输入\q<CONFIRM>\q然后点击\q购买\q按钮。","如果您願意用<PRICE>購買<ITEM>，請輸入\q<CONFIRM>\q然後點擊\q購買\q按鈕。","لطفاً کلمه \q<CONFIRM>\q رو تایپ و دکمه خرید رو فشار دهید تا <ITEM> به قیمت <PRICE> خریداری شود.","Ketik \q<CONFIRM>\q dan tekan tombol Beli untuk membeli <ITEM> seharga <PRICE>.","Sila taipkan \q<CONFIRM>\q dan tekan butang Beli untuk membeli <ITEM> dengan harga <PRICE>."
"TID_CONFIRM_WORD","CONFIRM","CONFIRMER","BESTÄTIGEN","CONFIRMAR","CONFERMA","BEVESTIGEN","BEKREFT","ONAYLA","かくにん","확인","ПОДТВЕРДИТЬ","تأكيد","CONFIRMAR","确认","確認","تایید","KONFIRMASI","SAH"
"TID_BUTTON_BUY","Buy","Acheter","Kaufen?","Comprar","Acquista","Kopen","Kjøp","Satın al","購入","구매","Купить","شراء","Comprar","购买","購買","خرید","Beli","Beli"
"TID_FACEBOOK_ERROR_TITLE","Facebook Error","Erreur Facebook","Facebook-Fehler","Error de Facebook","Errore Facebook","Facebookfout","Feil med Facebook","Facebook Hatası","Facebookエラー","Facebook 오류","Ошибка Facebook","خطأ Facebook","Erro do Facebook","Facebook错误","Facebook錯誤","خطای Facebook","Kesalahan Facebook","Ralat Facebook"
"TID_FACEBOOK_ERROR_SETTINGS_TITLE","Facebook sign-in failed","Échec de la connexion à Facebook","Anmeldung bei Facebook fehlgeschlagen","Error al conectar con Facebook","Accesso a Facebook fallito","Aanmelden met Facebook mislukt","Kan ikke logge på Facebook","Facebook'a giriş başarısız","Facebookログインエラー","Facebook 로그인 실패","Не удалось войти в Facebook","فشل تسجيل الدخول عبر Facebook","Falha ao entrar com o Facebook","Facebook登录失败","Facebook登入失敗","ورود به سیستم Facebook انجام نشد","Gagal masuk Facebook","Gagal daftar masuk Facebook"
"TID_FACEBOOK_ERROR_RETRY","Facebook sign-in failed. Please retry.","Échec de la connexion à Facebook. Veuillez réessayer.","Anmeldung bei Facebook fehlgeschlagen. Bitte versuche es erneut.","No se ha podido conectar con Facebook. Inténtalo de nuevo.","Accesso a Facebook fallito. Riprova.","Aanmelden met Facebook mislukt. Probeer het opnieuw.","Kan ikke logge på Facebook. Prøv igjen.","Facebook'a giriş başarısız. Lütfen tekrar dene.","Facebookにログインできません。再度お試しください。","Facebook에 로그인하지 못했습니다. 다시 시도해주세요.","Не удалось войти в Facebook. Попробуй еще раз.","فشل تسجيل الدخول عبر Facebook. من فضلك أعد المحاولة.","Falha ao entrar com o Facebook. Tente novamente.","Facebook登录失败，请重试。","Facebook登入失敗，請重試。","ورود به سیستم Facebook انجام نشد. لطفاً دوباره امتحان کن.","Gagal masuk Facebook. Coba lagi.","Gagal daftar masuk Facebook. Sila cuba semula."
"TID_FACEBOOK_ERROR_RETRY_LATER","Facebook sign-in failed due to a Facebook server issue. Please retry later.","Échec de la connexion à Facebook suite à un problème avec le serveur de Facebook. Veuillez réessayer ultérieurement.","Die Anmeldung bei Facebook ist wegen eines Facebook-Serverfehlers fehlgeschlagen. Bitte versuche es später erneut.","No se ha podido conectar con Facebook debido a un error en el servidor. Inténtalo más tarde.","Accesso a Facebook fallito a causa di un problema del server di Facebook. Riprova più tardi.","Aanmelden met Facebook mislukt door een probleem met de Facebook-server. Probeer het later opnieuw.","Kan ikke logge på Facebook på grunn av feil med Facebook-serveren. Prøv igjen senere.","Facebook'a giriş Facebook sunucusundaki bir sorun sebebiyle başarısız oldu. Lütfen daha sonra tekrar dene.","Facebookサーバーの問題により、Facebookにログインできません。時間をおいて再度お試しください。","Facebook 서버 문제로 Facebook에 로그인하지 못했습니다. 나중에 다시 시도해주세요.","Не удалось войти в Facebook из-за проблемы на сервере. Пожалуйста, попробуй позже.","فشل تسجيل الدخول عبر Facebook بسبب مشكلة في خادم Facebook. من فضلك أعد المحاولة في وقت لاحق.","Houve um problema no servidor do Facebook. Tente novamente mais tarde.","由于Facebook服务器原因，Facebook登录失败，请稍后重试。","由於Facebook伺服器原因，Facebook登入失敗，請稍後重試。","به دلیل مشکل در یک سرور Facebook ورود به سیستم Facebook انجام نشد. لطفاً بعداً دوباره امتحان کن.","Gagal masuk Facebook karena masalah server Facebook. Coba lagi nanti.","Gagal daftar masuk Facebook kerana masalah pelayan Facebook. Sila cuba semula kemudian."
"TID_FACEBOOK_ERROR_CANCELED","Facebook sign-in cancelled. In order to have full Clash Royale Facebook functionality please sign into Facebook.","La connexion à Facebook a été annulée. Veuillez vous connecter à Facebook pour accéder à toutes les fonctionnalités Facebook de Clash Royale.","Die Anmeldung bei Facebook wurde abgebrochen. Bitte melde dich bei Facebook an, um die volle Facebook-Funktionalität von Clash Royale nutzen zu können.","Se ha cancelado la conexión con Facebook. Para poder acceder a todas las características sociales de Clash Royale, tienes que iniciar sesión en Facebook.","Accesso a Facebook annullato. Per poter utilizzare tutte le funzionalità Facebook di Clash Royale, accedi a Facebook.","Aanmelden met Facebook geannuleerd. Meld je aan met Facebook om gebruik te maken van de volledige Facebook-functionaliteit van Clash Royale.","Pålogging til Facebook avbrutt. Du må logge på Facebook for å bruke alle Facebook-funksjonene i Clash Royale.","Facebook'a giriş iptal edildi. Clash Royale'ın Facebook işlevlerinin tamamını kullanabilmek için lütfen Facebook'a giriş yap.","Facebookログインをキャンセルしました。クラッシュ・ロワイヤルのFacebook連動機能を利用するにはFacebookにログインしてください。","Facebook 로그인이 취소되었습니다. Clash Royale의 Facebook 기능을 모두 활용하려면 Facebook에 로그인해주세요.","Вход в Facebook отменен. Для того чтобы использовать возможности Clash Royale в Facebook, войдите в Facebook.","تم إلغاء تسجيل الدخول عبر Facebook. لتحصل على كل وظائف Clash Royale عبر Facebook، يُرجى تسجيل الدخول إلى Facebook.","Login com o Facebook cancelado. Para aproveitar todas as funcionalidades do Clash Royale no Facebook, é necessário fazer o login.","Facebook登录已取消。要体验《部落冲突:皇室战争》完整的Facebook功能，请登录Facebook。","Facebook登入已取消。要體驗《部落衝突:皇室戰爭》完整的Facebook功能，請登入Facebook。","ورود به سیستم Facebook لغو شد. برای استفاده کامل از بخش Clash Royale با استفاده از Facebook لطفاً وارد Facebook بشو.","Batal masuk Facebook. Untuk mendapatkan fungsionalitas Facebook Clash Royale lengkap, masuklah ke Facebook.","Dafar masuk Facebook dibatalkan. Untuk mempunyai fungsi Facebook Clash Royale sepenuhnya, sila daftar masuk ke Facebook."
"TID_FACEBOOK_ERROR_UNKNOWN","Facebook sign-in failed due to an unknown reason. Please retry and in case it fails again please contact Player Support in-game through the report an issue button.","La connexion à Facebook a échoué pour une raison inconnue. Veuillez réessayer et en cas de nouvel échec, contactez le service d'assistance du jeu via le bouton Aide et assistance.","Die Anmeldung bei Facebook ist aus unbekanntem Grund fehlgeschlagen. Bitte versuche es erneut. Falls es wieder nicht funktionieren sollte, wende dich bitte im Spiel über \qProblem melden\q an den Spielersupport.","No se ha podido conectar con Facebook por motivos desconocidos. Inténtalo de nuevo, y si vuelve a fallar, ponte en contacto con el equipo de asistencia al jugador a través del botón Informar de un problema.","Accesso a Facebook fallito per ragioni sconosciute. Riprova e se il problema dovesse verificarsi di nuovo, contatta l'assistenza giocatore nel gioco tramite il pulsante Segnala un problema.","Aanmelden met Facebook mislukt om een onbekende reden. Probeer het opnieuw. Mocht het nog niet lukken, neem dan via het spel contact op met de ondersteuning door op 'Een probleem melden' te tikken.","Pålogging til Facebook mislyktes av ukjent årsak. Prøv igjen, og ta kontakt med spillerstøtte gjennom «Rapporter et problem»-knappen hvis påloggingen mislykkes igjen.","Facebook'a giriş bilinmeyen bir sebepten dolayı başarısız oldu. Lütfen tekrar dene ve yine başarısız olursan sorun bildir düğmesini kullanarak oyun içi Oyuncu Desteği ile iletişime geç.","予期せぬエラーにより、Facebookにログインできません。再度お試しください。それでもログインできない場合は、ゲーム内のお問い合わせボタンからプレイヤーサポートにご連絡ください。","알 수 없는 이유로 Facebook에 로그인하지 못했습니다. 재시도한 후에도 다시 실패할 경우에는 문제 신고 버튼을 통해 고객 지원 팀에 문의해주세요.","Не удалось войти в Facebook по неизвестной причине. Пожалуйста, попробуйте снова. Если не получится, свяжитесь со службой поддержки, используя эту возможность в игре.","فشل تسجيل الدخول عبر Facebook لسبب مجهول. يُرجى إعادة المحاولة وفي حالة الفشل ثانية، يُرجى الاتصال بدعم اللاعب في اللعبة عبر زر الإبلاغ عن مشكلة.","Não foi possível fazer login com o Facebook por uma razão desconhecida. Tente novamente e, caso ainda não consiga, entre em contato com o \qSuporte ao jogador\q dentro do jogo, usando o botão \qAjuda e Suporte\q.","因为未知错误，Facebook登录失败，请重试。如果登录再次失败，请通过游戏内\q帮助与支持\q按钮联系玩家支持团队。","因為未知錯誤，Facebook登入失敗，請重試。如果登入再次失敗，請通過遊戲內\q幫助與支援\q按鈕聯絡玩家支援團隊。","به دلیل نامشخصی ورود به سیستم Facebook انجام نشد. لطفاً دوباره سعی کن و اگر باز هم انجام نشد لطفاً از طریق دکمه گزارش مشکل با قسمت پشتیبانی بازیکنان در داخل بازی تماس بگیر.","Gagal masuk Facebook karena alasan yang tidak diketahui. Coba lagi dan jika gagal lagi, hubungilah Dukungan Pemain dalam game melalui tombol laporkan masalah.","Gagal daftar masuk Facebook kerana sebab yang tidak diketahui. Sila cuba semula dan sekiranya gagal sekali lagi, sila hubungi Sokongan Pemain dalam permainan menggunakan butang laporkan isu."
